-54	-75	-69	-72	-54	-95	-65	-81	-90	-71	-74	-74	-79	-84	-91	-89	-81	-93	-93	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	1	0
-55	-76	-66	-71	-55	-95	-66	-79	-89	-62	-64	-63	-79	-84	-87	-89	-46	-80	-80	-90	-84	-90	-89	-95	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	0
-60	-77	-65	-71	-51	-95	-60	-95	-90	-59	-64	-57	-75	-100	-85	-100	-48	-89	-80	-97	-76	-89	-89	-85	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0.5	0.5
-60	-77	-70	-72	-52	-100	-66	-83	-89	-57	-62	-69	-73	-82	-85	-100	-46	-85	-81	-92	-86	-97	-100	-100	-93	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	1	1
-61	-75	-73	-81	-68	-100	-64	-81	-93	-59	-64	-73	-75	-73	-85	-100	-43	-82	-81	-91	-83	-90	-91	-100	-98	-86	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	1
-58	-75	-67	-67	-48	-97	-68	-85	-91	-55	-69	-62	-73	-93	-88	-100	-41	-82	-80	-90	-100	-93	-91	-100	-95	-95	-94	-100	-100	-100	-100	-100	-100	-100	-100	-100	0.5	1.5
-57	-82	-62	-66	-46	-92	-60	-79	-95	-58	-64	-58	-72	-78	-79	-100	-41	-79	-81	-91	-100	-90	-100	-100	-95	-100	-83	-100	-100	-100	-100	-100	-100	-100	-100	-100	1	2
-59	-73	-61	-71	-51	-93	-61	-79	-95	-58	-64	-61	-71	-80	-81	-100	-44	-83	-77	-96	-100	-92	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	2
-62	-82	-67	-70	-49	-93	-63	-80	-95	-59	-68	-52	-73	-83	-81	-100	-38	-83	-83	-89	-95	-90	-100	-100	-95	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0.5	2.5
-62	-78	-62	-71	-48	-98	-61	-81	-95	-59	-66	-52	-75	-84	-80	-92	-36	-82	-84	-89	-86	-91	-100	-100	-93	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	1	3
-60	-74	-62	-69	-45	-100	-63	-80	-98	-56	-67	-56	-71	-77	-78	-92	-37	-79	-78	-90	-86	-90	-100	-100	-100	-100	-85	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	3
-60	-75	-60	-69	-44	-95	-63	-93	-93	-58	-69	-52	-69	-82	-78	-100	-37	-79	-85	-91	-83	-97	-100	-100	-100	-100	-95	-95	-100	-100	-100	-100	-100	-100	-100	-100	0.5	3.5
-63	-77	-60	-67	-49	-93	-63	-79	-95	-60	-63	-54	-66	-88	-79	-100	-36	-80	-100	-100	-94	-100	-100	-100	-94	-100	-100	-86	-100	-100	-100	-100	-100	-100	-100	-100	1	4
-62	-80	-55	-65	-53	-93	-61	-79	-88	-64	-65	-57	-62	-89	-79	-88	-40	-82	-93	-100	-84	-100	-100	-100	-93	-100	-95	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	4
-64	-78	-67	-65	-56	-91	-53	-80	-96	-55	-67	-86	-80	-81	-79	-84	-48	-83	-75	-97	-84	-95	-100	-100	-92	-100	-84	-87	-85	-100	-100	-100	-100	-100	-100	-100	0.5	4.5
-59	-86	-58	-65	-58	-91	-56	-80	-93	-60	-66	-56	-68	-76	-77	-85	-82	-84	-74	-92	-100	-90	-100	-100	-91	-100	-100	-96	-95	-100	-100	-100	-100	-100	-100	-100	1	5
-64	-77	-55	-66	-57	-89	-60	-81	-98	-53	-64	-56	-69	-100	-82	-100	-45	-82	-78	-93	-94	-91	-100	-100	-100	-100	-100	-100	-100	-85	-100	-100	-100	-100	-100	-100	0	5
-62	-81	-57	-66	-63	-90	-60	-76	-100	-60	-73	-52	-64	-100	-80	-100	-46	-79	-81	-89	-83	-92	-100	-100	-95	-100	-100	-100	-100	-95	-100	-100	-100	-100	-100	-100	0.5	5.5
-58	-82	-59	-70	-60	-90	-61	-73	-100	-54	-65	-54	-64	-82	-81	-84	-45	-80	-82	-100	-100	-92	-100	-100	-92	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	1	6
-61	-85	-58	-72	-60	-92	-61	-78	-100	-56	-64	-47	-68	-94	-77	-95	-51	-79	-93	-91	-100	-93	-100	-100	-95	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	6
